node,graph_name,node_type,place_id,label,category,rating,total_user_ratings,formatted_address,taluk,micro_region
place::ChIJ0xaj02V5BjsRnOSAKrKLr0c,place_network,place,ChIJ0xaj02V5BjsRnOSAKrKLr0c,Thenmala Eco Adventure Park,tourist_attraction,4.2,79,"X393+GMF, Thenmala, Kerala 691308, India",Tenkasi,Tenkasi
place::ChIJR_7XweMrBDsR-Deh8t3QKaE,place_network,place,ChIJR_7XweMrBDsR-Deh8t3QKaE,NSP falls,tourist_attraction,4.4,75,"W6P5+X64, Kannupuli Mettu Rd, Puliyarai R.F. Part, Tamil Nadu 627809, India",Tenkasi,Tenkasi
place::ChIJRYY_rQGBBjsRFzW_3wD1zIc,place_network,place,ChIJRYY_rQGBBjsRFzW_3wD1zIc,"Ammaiyar Ootru, Seevanallur",tourist_attraction,4.5,73,"277F+H7J, Seevanallur Rd, Elathur, Tamil Nadu 627803, India",Tenkasi,Tenkasi
place::ChIJZ-zxuGY9BDsRrMy860z5NG8,place_network,place,ChIJZ-zxuGY9BDsRrMy860z5NG8,Ariyanayagipuram check dam,tourist_attraction,4.5,72,"PGHJ+67R, Vadakku Ariyanayakipuram, Tamil Nadu 627603, India",Tenkasi,Tenkasi
place::ChIJK0NZsjHWBTsRmQc2zfFZbdw,place_network,place,ChIJK0NZsjHWBTsRmQc2zfFZbdw,Thenmala Reservoir Boating Point,tourist_attraction,4.4,68,"X339+8WJ, Thenmala, Kerala 691310, India",Tenkasi,Tenkasi
place::ChIJ8XZAdBorBDsRCFo9YHNralM,place_network,place,ChIJ8XZAdBorBDsRCFo9YHNralM,LE FALLS,private_guest_room,4.7,65,"Door No 80, ST-4, Parasakthi Nagar, Courtallam, Tamil Nadu 627802, India",Tenkasi,Tenkasi
place::ChIJ03S4wKcqBDsR8SJ8qShQuVA,place_network,place,ChIJ03S4wKcqBDsR8SJ8qShQuVA,Mottai Dam,tourist_attraction,4.5,65,"X674+HW9, Puliyarai R.F. Part, Tamil Nadu 627809, India",Tenkasi,Tenkasi
place::ChIJjU74dBhdBDsRI5lqEHTos7M,place_network,place,ChIJjU74dBhdBDsRI5lqEHTos7M,Thirukurungudi Lake side,tourist_attraction,4.4,61,"CHM6+5PH, SH 177, Nambithoppu, Tamil Nadu 627115, India",Tenkasi,Tenkasi
place::ChIJnzg1ZEyQBjsRGfXYSNapEy8,place_network,place,ChIJnzg1ZEyQBjsRGfXYSNapEy8,Agasthiyar Temple,hindu_temple,4.6,60,"19, W Car St, Chinthamani, Tamil Nadu 627855, India",Tenkasi,Tenkasi
place::ChIJ6595L7OPBjsRpsrMEvpp2oM,place_network,place,ChIJ6595L7OPBjsRpsrMEvpp2oM,Munthal Falls,tourist_attraction,4.6,53,"595C+5MX முந்தல் மலை, Mundhal Rd, Krishnapuram R.F., Tamil Nadu 627855, India",Tenkasi,Tenkasi
place::ChIJNTlP4oYvBDsRzFjXuufmSLA,place_network,place,ChIJNTlP4oYvBDsRzFjXuufmSLA,Ramanathi River View Point,tourist_attraction,4.3,53,"R8RM+P6C, Melakadaiyam, Tamil Nadu 627415, India",Tenkasi,Tenkasi
