node,graph_name,node_type,place_id,label,category,rating,total_user_ratings
place::ChIJpyjnUcgqBDsRqKglR-rR6ic,user_place_bipartite,place,ChIJpyjnUcgqBDsRqKglR-rR6ic,Kannupuli Mettu Falls,tourist_attraction,4.5,202.0
place::ChIJMQJVGvJDBDsRlDNht-TnmEc,user_place_bipartite,place,ChIJMQJVGvJDBDsRlDNht-TnmEc,Thenga urili falls,tourist_attraction,4.5,184.0
place::ChIJ____vx8uBDsRdy596_hZp7Y,user_place_bipartite,place,ChIJ____vx8uBDsRdy596_hZp7Y,Kadana Nathi Dam,tourist_attraction,4.7,178.0
place::ChIJ4ctFls0pBDsRULXiO18rTCc,user_place_bipartite,place,ChIJ4ctFls0pBDsRULXiO18rTCc,Kizhapuliyur sub post office,park,4.1,177.0
place::ChIJ695M_corBDsRnPDPpXIaNdY,user_place_bipartite,place,ChIJ695M_corBDsRnPDPpXIaNdY,Shenbaga Devi Waterfalls,tourist_attraction,4.5,168.0
place::ChIJJ329cx82BDsRg4-Ca4VCsmE,user_place_bipartite,place,ChIJJ329cx82BDsRg4-Ca4VCsmE,Paana Theertham water Falls,tourist_attraction,4.5,167.0
place::ChIJ9dVwpNXlBjsRYDGYo7XkJsE,user_place_bipartite,place,ChIJ9dVwpNXlBjsRYDGYo7XkJsE,Ayyanar Kovil Waterfalls,tourist_attraction,4.3,161.0
place::ChIJwW9191LmBjsRkZD5R5tjbhc,user_place_bipartite,place,ChIJwW9191LmBjsRkZD5R5tjbhc,Rakachi Amman kovil Water Falls,tourist_attraction,4.5,157.0
place::ChIJT0cJOkIvBDsRp3Dc1hZZjns,user_place_bipartite,place,ChIJT0cJOkIvBDsRp3Dc1hZZjns,Ramanadhi Dam,tourist_attraction,4.6,155.0
place::ChIJJ2IpcmrdBjsRiMBIP75mPrI,user_place_bipartite,place,ChIJJ2IpcmrdBjsRiMBIP75mPrI,Shenbaga Thoppu,tourist_attraction,4.5,154.0
place::ChIJXS_d0_rsBjsR625dSb4lWg4,user_place_bipartite,place,ChIJXS_d0_rsBjsR625dSb4lWg4,"Arulmigu Koodara Paarai Sri.Bala Subramania Swamy Malai Kovil, Sivagiri",hindu_temple,4.7,137.0
place::ChIJy8yX9TEjBDsRKrgdgJb00ro,user_place_bipartite,place,ChIJy8yX9TEjBDsRKrgdgJb00ro,Break Spot,cafe,4.4,122.0
place::ChIJWdA66vGHBjsRhYoqWoO-3X0,user_place_bipartite,place,ChIJWdA66vGHBjsRhYoqWoO-3X0,Mekkarai paddy field,tourist_attraction,4.8,120.0
place::ChIJAzU2LrmXBjsRtKAvjEwKyQM,user_place_bipartite,place,ChIJAzU2LrmXBjsRtKAvjEwKyQM,திருவள்ளுவர் பூங்கா Thiruvalluvar Park,park,4.1,117.0
place::ChIJWbtqLwArBDsRGyMHNLc54jA,user_place_bipartite,place,ChIJWbtqLwArBDsRGyMHNLc54jA,Main falls Arch,tourist_attraction,4.6,116.0
place::ChIJTx41qRWHBjsRhJ24CoYHETI,user_place_bipartite,place,ChIJTx41qRWHBjsRhJ24CoYHETI,Mekkarai,tourist_attraction,4.6,109.0
place::ChIJ72IPMsYpBDsRfKh1L8TI4cc,user_place_bipartite,place,ChIJ72IPMsYpBDsRfKh1L8TI4cc,Vaikalpaalam bridge,bridge,4.3,95.0
place::ChIJMRHgkG94BjsRt79b3yhE0qA,user_place_bipartite,place,ChIJMRHgkG94BjsRt79b3yhE0qA,Kallada Stream Ottakal,park,4.2,88.0
place::ChIJM0QzRSjWBTsRnN8-I46qXuE,user_place_bipartite,place,ChIJM0QzRSjWBTsRnN8-I46qXuE,Kallada Dam,tourist_attraction,4.4,87.0
place::ChIJB9v7CsUpBDsR9m63ZDC_Z0Q,user_place_bipartite,place,ChIJB9v7CsUpBDsR9m63ZDC_Z0Q,Vembadi Mosque,mosque,4.6,86.0
place::ChIJVaySRBQqBDsRTiMS9vg2e2E,user_place_bipartite,place,ChIJVaySRBQqBDsRTiMS9vg2e2E,"Courtallam Tourism ,குற்றாலம் சுற்றுலா",tourist_information_center,4.2,85.0
place::ChIJzenf9bgjBDsRKu4PTt-7chk,user_place_bipartite,place,ChIJzenf9bgjBDsRKu4PTt-7chk,"Sorimuthu Ayyanar kovil Alangulam,",hindu_temple,4.7,83.0
place::ChIJ0xaj02V5BjsRnOSAKrKLr0c,user_place_bipartite,place,ChIJ0xaj02V5BjsRnOSAKrKLr0c,Thenmala Eco Adventure Park,tourist_attraction,4.2,79.0
