node,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,katz_centrality,pagerank,hits_hub,hits_authority,label,node_type,average_rank
user::dd,0.005494505494505495,0.0,0.034730701397368065,0.0,0.03698278795317357,0.0011438993900305067,0.0007404243473866761,0.0007404243473866741,Dd,user,150.875
user::mathan__m,0.005494505494505495,0.0,0.012558869701726845,0.0,0.036986429085659356,0.0011914524060407624,4.5825020131073005e-18,6.678795778535796e-18,Mathan  M,user,150.875
user::aibin_hawkz,0.005494505494505495,0.0,0.034730701397368065,0.0,0.03698278795317357,0.0011438993900305067,0.0007404243473866758,0.0007404243473866762,Aibin Hawkz,user,151.0
user::krithika_s,0.005494505494505495,0.0,0.03560995966059258,0.0,0.0369789755925282,0.0011804089939301133,0.0013062406954504424,0.0013062406954504411,Krithika S,user,151.0
user::abishek_ragland,0.005494505494505495,0.0,0.03560995966059258,0.0,0.03697897559252819,0.0011804089939301133,0.0013062406954504424,0.0013062406954504411,Abishek Ragland,user,151.125
user::sivakumar,0.005494505494505495,0.0,0.03560995966059258,0.0,0.036978975592528184,0.0011804089939301133,0.0013062406954504424,0.001306240695450442,Sivakumar,user,151.125
user::m_siva_subramanian,0.005494505494505495,0.0,0.012558869701726845,0.0,0.036986429085659356,0.0011914524060407624,4.740840497300033e-18,5.531931856969043e-18,M Siva Subramanian,user,151.125
user::tamil_selvan,0.005494505494505495,0.0,0.034730701397368065,0.0,0.03697899436443352,0.0011856798579178863,0.0011504347991387817,0.001150434799138782,Tamil Selvan,user,151.25
user::aravindan_sankaranarayanan,0.005494505494505495,0.0,0.034730701397368065,0.0,0.03698278795317353,0.0011438993900305067,0.0007404243473866753,0.0007404243473866806,Aravindan Sankaranarayanan,user,151.25
user::vinod__b,0.005494505494505495,0.0,0.03560995966059258,0.0,0.036978975592528156,0.0011804089939301133,0.0013062406954504424,0.0013062406954504407,Vinod  B,user,151.625
user::husain_abu_hunaid,0.005494505494505495,0.0,0.03359029030670822,0.0,0.036978975211159094,0.0012014197643393481,0.0005468290957668622,0.0005468290957668622,Husain Abu Hunaid,user,151.75
user::abdul_rasith,0.005494505494505495,0.0,0.03359029030670822,0.0,0.03697897521115909,0.0012014197643393481,0.0005468290957668622,0.0005468290957668627,Abdul Rasith,user,151.75
user::malik_m,0.005494505494505495,0.0,0.03359029030670822,0.0,0.03697897521115909,0.0012014197643393481,0.0005468290957668622,0.0005468290957668622,Malik M,user,151.875
user::velayutham_raja,0.005494505494505495,0.0,0.012558869701726845,0.0,0.03698642908565937,0.0011914524060407624,3.5486448516135806e-18,4.0477550172944216e-18,Velayutham Raja,user,151.875
user::arunprasath_m,0.005494505494505495,0.0,0.012558869701726845,0.0,0.036986429085659356,0.0011914524060407624,4.191312816866434e-18,5.059693771618027e-18,Arunprasath M,user,152.0
user::mohammed_saleem,0.005494505494505495,0.0,0.03359029030670822,0.0,0.03697897521115908,0.0012014197643393481,0.0005468290957668621,0.0005468290957668632,Mohammed Saleem,user,152.25
user::sathya_sachinism,0.005494505494505495,0.0,0.012558869701726845,0.0,0.0369864290856594,0.0011914524060407624,3.660413193396686e-18,3.2382040138355373e-18,Sathya Sachinism,user,152.5
user::mohammed_saabiq,0.005494505494505495,0.0,0.012558869701726845,0.0,0.03698642908565936,0.0011914524060407624,3.576586937059357e-18,3.8453672664297006e-18,Mohammed Saabiq,user,152.5
user::arumugam_k,0.005494505494505495,0.0,0.03024932057190122,0.0,0.03698271139539216,0.0011842906447618263,0.0004441900860056677,0.00044419008600566734,Arumugam K,user,152.75
