node,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,katz_centrality,pagerank,hits_hub,hits_authority,label,node_type,average_rank
place::ChIJjfO2v0cjBDsRsKc-LKoWRkQ,0.15094339622641512,0.038876947164503885,0.42968875987743915,0.0,-0.06203684607538512,0.0073666062681792596,0.0004733913438032557,0.00047339134380325527,Shri Sorimuthu Ayyanar Temple,place,74.5
place::ChIJOXLCPOgpBDsR1ahseikbHMM,0.15094339622641512,0.019305787755751928,0.4310703957612894,0.0,-0.06250006991463221,0.007772055292900899,0.0004881027155325139,0.0004881027155325138,Ulagamman Kasi Viswanathar Kovil Tenkasi,place,75.125
place::ChIJebL0AYyHBjsRTxHUtm8V2z8,0.12578616352201258,0.0,0.40872833256634455,0.0,-0.022287999609072903,0.0041643163905247405,0.0023496261432249723,0.002349626143224972,Private Falls,place,75.625
place::ChIJv4DWN_M7BDsRLxeax-9oHoE,0.13836477987421383,0.006873125812700686,0.4242496616511425,0.0,-0.05840517524348063,0.00744150869952836,0.0006868806381688785,0.0006868806381688791,Athiri Malai Temple,place,76.75
place::ChIJrZudDynWBTsRgmRjpkW8rxI,0.08176100628930819,0.001751452909800175,0.39085391569026534,0.0,-0.024614676789788365,0.0037506768813096005,0.0017845136008313868,0.0017845136008313868,Thenmala Dam Bridge,place,77.375
place::ChIJh_EnhcOABjsRHN91tNw1LuI,0.1069182389937107,0.003317145662500332,0.4283159523378946,0.0,-0.04483264876366792,0.00620278218768349,0.0014069805253753578,0.0014069805253753578,Arulmigu Thirumalai Kumaraswamy Temple,place,77.5
place::ChIJTQ51yEc5BDsRchgzbmWedQM,0.10062893081761007,0.02326645967677733,0.42695188879541723,0.0,-0.051751277102635385,0.005171402181739168,0.0006290944419423757,0.0006290944419423758,Ambai Periyakovil Padithurai,place,77.625
place::ChIJDQL5k-0rBDsRO0l-ghJ0xPI,0.10062893081761007,0.0015126184221001511,0.3874650089068237,0.0,-0.028521132907546765,0.0037263788108509175,0.0016999441592934284,0.0016999441592934262,Gundar Private Falls,place,77.75
place::ChIJMRHgkG94BjsRt79b3yhE0qA,0.08805031446540881,0.0030252368442003023,0.3863483950483026,0.0,-0.03827030913824892,0.004723873933012855,0.0009745029961254331,0.0009745029961254324,Kallada Stream Ottakal,place,79.125
place::ChIJKat96ayHBjsRj2Bj6PVoPOQ,0.09433962264150944,0.0013533954303001352,0.40018774054257017,0.0,-0.032873972433178744,0.003387787826366338,0.0013344805455846082,0.001334480545584607,Mekkarai Diamond falls,place,80.125
place::ChIJyynNh8AqBDsRiwzRqzGp6EU,0.03773584905660378,0.012260170368601225,0.3765811603420253,0.0,-0.03643431408875674,0.0033503584285043426,0.0006339995177140135,0.0006339995177140133,Gundaru Dam,place,82.25
