:START_ID(Place),:END_ID(Place),weight,:TYPE
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJX6BjwiEnBDsRJ_cID8CZrMc,2.6,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJnxEU5r8pBDsRUriXx2MH-XI,5.819,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJjfO2v0cjBDsRsKc-LKoWRkQ,5.438,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJGbc6sSKdBjsRmvw5EigekSo,2.924,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJcfvrXkC5BjsRu3pY0p9dUgA,3.006,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJPYrLA3ydBjsR76Lqd0JtI1g,3.188,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJ4Uo7n3mdBjsRqe7VZR4A1po,3.188,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJLadwo8YpBDsRT3xwA0_FTbw,5.779,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJ9Ri3vj2dBjsRuUVf6SNP2fk,5.35,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJ96R4jXudBjsRECgwFvGqk5Q,3.188,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJn2YR4tydBjsR76Ujn5xhak8,3.188,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJpYSiHEG5BjsR1ZNJlloOrvI,2.924,CO_VISITED
ChIJOXLCPOgpBDsR1ahseikbHMM,ChIJ59WpP4UpBDsR5oYgTYmyhno,3.635,CO_VISITED
ChIJEU6I6hKDBjsRvMeXfF6jNy8,ChIJDbOCbOEpBDsRGXzqHo5TGck,3.75,CO_VISITED
ChIJEU6I6hKDBjsRvMeXfF6jNy8,ChIJAzU2LrmXBjsRtKAvjEwKyQM,4.0,CO_VISITED
