:START_ID(User),:END_ID(User),weight,:TYPE
naveen_ks,sethu_n,1.0,SIMILAR_USER
naveen_ks,subhra_kar,1.0,SIMILAR_USER
sethu_n,subhra_kar,1.0,SIMILAR_USER
aneesh_va,arjun_siva,1.0,SIMILAR_USER
aneesh_va,gayathri,1.0,SIMILAR_USER
aneesh_va,nitin,1.0,SIMILAR_USER
aneesh_va,sukesh_s,1.0,SIMILAR_USER
arjun_siva,gayathri,1.0,SIMILAR_USER
arjun_siva,nitin,1.0,SIMILAR_USER
arjun_siva,sukesh_s,1.0,SIMILAR_USER
gayathri,nitin,1.0,SIMILAR_USER
gayathri,sukesh_s,1.0,SIMILAR_USER
nitin,sukesh_s,1.0,SIMILAR_USER
dr_p_j_george,govardhan_s,1.0,SIMILAR_USER
dr_p_j_george,prajjawal_sharma,1.0,SIMILAR_USER
dr_p_j_george,sreekrishnan_a_s,1.0,SIMILAR_USER
dr_p_j_george,viswas_koundinyan_g,1.0,SIMILAR_USER
govardhan_s,prajjawal_sharma,1.0,SIMILAR_USER
govardhan_s,sreekrishnan_a_s,1.0,SIMILAR_USER
govardhan_s,viswas_koundinyan_g,1.0,SIMILAR_USER
prajjawal_sharma,sreekrishnan_a_s,1.0,SIMILAR_USER
prajjawal_sharma,viswas_koundinyan_g,1.0,SIMILAR_USER
sreekrishnan_a_s,viswas_koundinyan_g,1.0,SIMILAR_USER
ganesan_t,journey_with_dds___vlog,1.0,SIMILAR_USER
ganesan_t,seenivasan_ramasamy,1.0,SIMILAR_USER
ganesan_t,thangavelu_arun_kumar,1.0,SIMILAR_USER
ganesan_t,travel_paithiyam,1.0,SIMILAR_USER
journey_with_dds___vlog,seenivasan_ramasamy,1.0,SIMILAR_USER
journey_with_dds___vlog,thangavelu_arun_kumar,1.0,SIMILAR_USER
journey_with_dds___vlog,travel_paithiyam,1.0,SIMILAR_USER
seenivasan_ramasamy,thangavelu_arun_kumar,1.0,SIMILAR_USER
seenivasan_ramasamy,travel_paithiyam,1.0,SIMILAR_USER
thangavelu_arun_kumar,travel_paithiyam,1.0,SIMILAR_USER
aishu_v,kader_sulaiman,1.0,SIMILAR_USER
aishu_v,nomadic_shutter,1.0,SIMILAR_USER
aishu_v,sahil_m,1.0,SIMILAR_USER
aishu_v,somnath_m,1.0,SIMILAR_USER
kader_sulaiman,nomadic_shutter,1.0,SIMILAR_USER
kader_sulaiman,sahil_m,1.0,SIMILAR_USER
kader_sulaiman,somnath_m,1.0,SIMILAR_USER
nomadic_shutter,sahil_m,1.0,SIMILAR_USER
nomadic_shutter,somnath_m,1.0,SIMILAR_USER
sahil_m,somnath_m,1.0,SIMILAR_USER
lithisha,praveen_gopalan,1.0,SIMILAR_USER
lithisha,premz_view,1.0,SIMILAR_USER
lithisha,shamini_kiruba,1.0,SIMILAR_USER
lithisha,suresh_perumal,1.0,SIMILAR_USER
praveen_gopalan,premz_view,1.0,SIMILAR_USER
praveen_gopalan,shamini_kiruba,1.0,SIMILAR_USER
praveen_gopalan,suresh_perumal,1.0,SIMILAR_USER
premz_view,shamini_kiruba,1.0,SIMILAR_USER
premz_view,suresh_perumal,1.0,SIMILAR_USER
shamini_kiruba,suresh_perumal,1.0,SIMILAR_USER
abhishek_yadav,jai_prakash_nain,1.0,SIMILAR_USER
abhishek_yadav,jeyaram_d,1.0,SIMILAR_USER
abhishek_yadav,krishnamurthy_i,1.0,SIMILAR_USER
abhishek_yadav,prakash_photography_tvmalai,1.0,SIMILAR_USER
jai_prakash_nain,jeyaram_d,1.0,SIMILAR_USER
jai_prakash_nain,krishnamurthy_i,1.0,SIMILAR_USER
jai_prakash_nain,prakash_photography_tvmalai,1.0,SIMILAR_USER
jeyaram_d,krishnamurthy_i,1.0,SIMILAR_USER
jeyaram_d,prakash_photography_tvmalai,1.0,SIMILAR_USER
krishnamurthy_i,prakash_photography_tvmalai,1.0,SIMILAR_USER
jose_wesley,kaarthikeyan,1.0,SIMILAR_USER
jose_wesley,karthik_velmurugan,1.0,SIMILAR_USER
jose_wesley,sabari_nathan,1.0,SIMILAR_USER
jose_wesley,sathya_raghu,1.0,SIMILAR_USER
kaarthikeyan,karthik_velmurugan,1.0,SIMILAR_USER
kaarthikeyan,sabari_nathan,1.0,SIMILAR_USER
kaarthikeyan,sathya_raghu,1.0,SIMILAR_USER
karthik_velmurugan,sabari_nathan,1.0,SIMILAR_USER
karthik_velmurugan,sathya_raghu,1.0,SIMILAR_USER
sabari_nathan,sathya_raghu,1.0,SIMILAR_USER
arunkumar_thangasamy,jenifer_julie,1.0,SIMILAR_USER
arunkumar_thangasamy,nazeer_hussain__ஒண_ட_ப_ல,1.0,SIMILAR_USER
arunkumar_thangasamy,praise_by_andria_gracious,1.0,SIMILAR_USER
arunkumar_thangasamy,surya_k,1.0,SIMILAR_USER
jenifer_julie,nazeer_hussain__ஒண_ட_ப_ல,1.0,SIMILAR_USER
jenifer_julie,praise_by_andria_gracious,1.0,SIMILAR_USER
jenifer_julie,surya_k,1.0,SIMILAR_USER
nazeer_hussain__ஒண_ட_ப_ல,praise_by_andria_gracious,1.0,SIMILAR_USER
